Loading data from data\sign_mnist_train.npy ...
Loading data from data\sign_mnist_test.npy ...
Generating model graph visualization at results\20181219-073225\model ...

(dot.exe:3556): Pango-WARNING **: couldn't load font "Times Not-Rotated 10", falling back to "Sans Not-Rotated 10", expect ugly output.
Using CUDA!
===== HYPERPARAMETERS =====
batch_size= 32
epochs= 8
learning_rate= 0.001
==============================
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 3.22, acc: 0.05, time: 4.42s
[Train] Epoch 1, 10% 	 loss: 1.59, acc: 0.56, time: 4.07s
[Train] Epoch 1, 20% 	 loss: 0.42, acc: 0.84, time: 0.70s
[Train] Epoch 1, 30% 	 loss: 0.25, acc: 0.91, time: 0.70s
[Train] Epoch 1, 40% 	 loss: 0.05, acc: 0.97, time: 0.70s
[Train] Epoch 1, 50% 	 loss: 0.03, acc: 1.00, time: 0.70s
[Train] Epoch 1, 60% 	 loss: 0.01, acc: 1.00, time: 0.71s
[Train] Epoch 1, 70% 	 loss: 0.03, acc: 1.00, time: 0.70s
[Train] Epoch 1, 80% 	 loss: 0.12, acc: 0.97, time: 0.71s
[Train] Epoch 1, 90% 	 loss: 0.07, acc: 0.97, time: 0.71s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.17, acc: 0.95, time: 3.73s
[Train] Epoch 2, 10% 	 loss: 0.03, acc: 1.00, time: 4.07s
[Train] Epoch 2, 20% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 2, 30% 	 loss: 0.02, acc: 1.00, time: 0.72s
[Train] Epoch 2, 40% 	 loss: 0.01, acc: 1.00, time: 0.71s
[Train] Epoch 2, 50% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 2, 60% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 2, 70% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 2, 80% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 2, 90% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.35, acc: 0.93, time: 3.74s
[Train] Epoch 3, 10% 	 loss: 0.18, acc: 0.94, time: 4.08s
[Train] Epoch 3, 20% 	 loss: 0.02, acc: 1.00, time: 0.72s
[Train] Epoch 3, 30% 	 loss: 0.03, acc: 1.00, time: 0.74s
[Train] Epoch 3, 40% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 3, 50% 	 loss: 0.01, acc: 1.00, time: 0.70s
[Train] Epoch 3, 60% 	 loss: 0.01, acc: 1.00, time: 0.72s
[Train] Epoch 3, 70% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 3, 80% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 3, 90% 	 loss: 0.00, acc: 1.00, time: 0.74s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.20, acc: 0.95, time: 3.70s
[Train] Epoch 4, 10% 	 loss: 0.36, acc: 0.94, time: 4.06s
[Train] Epoch 4, 20% 	 loss: 0.00, acc: 1.00, time: 0.71s
